epoch,lr-Adam,step,train/loss_epoch,train/loss_step,val/loss,val/mAP
7,,2609,,0.961876512,,
,5.00E-05,2619,,,,
7,,2619,,0.725098908,,
,5.00E-05,2629,,,,
7,,2629,,1.031026125,,
,5.00E-05,2639,,,,
7,,2639,,1.110620975,,
,5.00E-05,2649,,,,
7,,2649,,0.91649133,,
,5.00E-05,2659,,,,
7,,2659,,1.021088123,,
,5.00E-05,2669,,,,
7,,2669,,0.709297717,,
,5.00E-05,2679,,,,
7,,2679,,1.192902565,,
,5.00E-05,2689,,,,
7,,2689,,0.873081088,,
,5.00E-05,2699,,,,
7,,2699,,1.406318545,,
,5.00E-05,2709,,,,
7,,2709,,1.152467012,,
,5.00E-05,2719,,,,
7,,2719,,1.021121264,,
,5.00E-05,2729,,,,
7,,2729,,0.906367302,,
,5.00E-05,2739,,,,
7,,2739,,1.023433685,,
,5.00E-05,2749,,,,
7,,2749,,0.719279408,,
,5.00E-05,2759,,,,
7,,2759,,0.764571309,,
,5.00E-05,2769,,,,
7,,2769,,1.068181038,,
,5.00E-05,2779,,,,
7,,2779,,1.039975643,,
,5.00E-05,2789,,,,
7,,2789,,1.21498847,,
,5.00E-05,2799,,,,
7,,2799,,0.938427806,,
,5.00E-05,2809,,,,
7,,2809,,0.719146788,,
,5.00E-05,2819,,,,
7,,2819,,1.036524177,,
,5.00E-05,2829,,,,
7,,2829,,1.243124485,,
,5.00E-05,2839,,,,
7,,2839,,0.706510842,,
,5.00E-05,2849,,,,
7,,2849,,1.253163218,,
,5.00E-05,2859,,,,
7,,2859,,0.891509533,,
,5.00E-05,2869,,,,
7,,2869,,0.603856146,,
,5.00E-05,2879,,,,
7,,2879,,0.857274771,,
7,,2887,,,0,0.109122552
7,,2887,0.962830544,,,
,5.00E-05,2889,,,,
8,,2889,,0.807637453,,
,5.00E-05,2899,,,,
8,,2899,,0.68770498,,
,5.00E-05,2909,,,,
8,,2909,,0.982916772,,
,5.00E-05,2919,,,,
8,,2919,,0.937668622,,
,5.00E-05,2929,,,,
8,,2929,,0.93187362,,
,5.00E-05,2939,,,,
8,,2939,,0.61463356,,
,5.00E-05,2949,,,,
8,,2949,,1.016243815,,
,5.00E-05,2959,,,,
8,,2959,,0.782098055,,
,5.00E-05,2969,,,,
8,,2969,,0.900250256,,
,5.00E-05,2979,,,,
8,,2979,,0.954733253,,
,5.00E-05,2989,,,,
8,,2989,,1.07804513,,
,5.00E-05,2999,,,,
8,,2999,,0.96413362,,
,5.00E-05,3009,,,,
8,,3009,,0.797219813,,
,5.00E-05,3019,,,,
8,,3019,,0.892532647,,
,5.00E-05,3029,,,,
8,,3029,,0.916689992,,
,5.00E-05,3039,,,,
8,,3039,,0.77139014,,
,5.00E-05,3049,,,,
8,,3049,,0.987159967,,
,5.00E-05,3059,,,,
8,,3059,,0.753872633,,
,5.00E-05,3069,,,,
8,,3069,,0.904822052,,
,5.00E-05,3079,,,,
8,,3079,,0.848556221,,
,5.00E-05,3089,,,,
8,,3089,,0.988253117,,
,5.00E-05,3099,,,,
8,,3099,,1.083152413,,
,5.00E-05,3109,,,,
8,,3109,,0.684330761,,
,5.00E-05,3119,,,,
8,,3119,,0.792805731,,
,5.00E-05,3129,,,,
8,,3129,,0.846129119,,
,5.00E-05,3139,,,,
8,,3139,,1.002295494,,
,5.00E-05,3149,,,,
8,,3149,,1.283218384,,
,5.00E-05,3159,,,,
8,,3159,,0.813132524,,
,5.00E-05,3169,,,,
8,,3169,,0.861629128,,
,5.00E-05,3179,,,,
8,,3179,,0.946299076,,
,5.00E-05,3189,,,,
8,,3189,,1.023539543,,
,5.00E-05,3199,,,,
8,,3199,,1.044096828,,
,5.00E-05,3209,,,,
8,,3209,,0.865843296,,
,5.00E-05,3219,,,,
8,,3219,,1.045099974,,
,5.00E-05,3229,,,,
8,,3229,,0.972982883,,
,5.00E-05,3239,,,,
8,,3239,,0.921535552,,
8,,3248,,,0,0.096379466
8,,3248,0.910210311,,,
,2.50E-05,3249,,,,
9,,3249,,0.583715856,,
,2.50E-05,3259,,,,
9,,3259,,0.786360741,,
,2.50E-05,3269,,,,
9,,3269,,0.738487184,,
,2.50E-05,3279,,,,
9,,3279,,0.698880494,,
,2.50E-05,3289,,,,
9,,3289,,0.814933121,,
,2.50E-05,3299,,,,
9,,3299,,0.661093712,,
,2.50E-05,3309,,,,
9,,3309,,0.838456273,,
,2.50E-05,3319,,,,
9,,3319,,0.803740859,,
,2.50E-05,3329,,,,
9,,3329,,0.778167725,,
,2.50E-05,3339,,,,
9,,3339,,0.949149609,,
,2.50E-05,3349,,,,
9,,3349,,0.727802873,,
,2.50E-05,3359,,,,
9,,3359,,0.6856547,,
,2.50E-05,3369,,,,
9,,3369,,0.751542032,,
,2.50E-05,3379,,,,
9,,3379,,0.590504408,,
,2.50E-05,3389,,,,
9,,3389,,0.785505533,,
,2.50E-05,3399,,,,
9,,3399,,0.669880867,,
,2.50E-05,3409,,,,
9,,3409,,1.091403008,,
,2.50E-05,3419,,,,
9,,3419,,1.260849595,,
,2.50E-05,3429,,,,
9,,3429,,0.757013202,,
,2.50E-05,3439,,,,
9,,3439,,0.693505764,,
,2.50E-05,3449,,,,
9,,3449,,0.897251487,,
,2.50E-05,3459,,,,
9,,3459,,0.731629133,,
,2.50E-05,3469,,,,
9,,3469,,0.878663063,,
,2.50E-05,3479,,,,
9,,3479,,0.766375601,,
,2.50E-05,3489,,,,
9,,3489,,1.052860379,,
,2.50E-05,3499,,,,
9,,3499,,0.824722648,,
,2.50E-05,3509,,,,
9,,3509,,0.809932351,,
,2.50E-05,3519,,,,
9,,3519,,0.924117446,,
,2.50E-05,3529,,,,
9,,3529,,0.849104941,,
,2.50E-05,3539,,,,
9,,3539,,0.915853739,,
,2.50E-05,3549,,,,
9,,3549,,0.809879899,,
,2.50E-05,3559,,,,
9,,3559,,0.644075453,,
,2.50E-05,3569,,,,
9,,3569,,0.687922537,,
,2.50E-05,3579,,,,
9,,3579,,1.079026222,,
,2.50E-05,3589,,,,
9,,3589,,0.620889068,,
,2.50E-05,3599,,,,
9,,3599,,1.419102311,,
,2.50E-05,3609,,,,
9,,3609,,0.877574563,,
9,,3609,,,0,0.107387349
9,,3609,0.81687367,,,
,2.50E-05,3619,,,,
10,,3619,,1.112793803,,
,2.50E-05,3629,,,,
10,,3629,,0.778910398,,
,2.50E-05,3639,,,,
10,,3639,,0.781442344,,
,2.50E-05,3649,,,,
10,,3649,,1.055394769,,
,2.50E-05,3659,,,,
10,,3659,,0.934863091,,
,2.50E-05,3669,,,,
10,,3669,,1.003512144,,
,2.50E-05,3679,,,,
10,,3679,,1.543990612,,
,2.50E-05,3689,,,,
10,,3689,,0.611577094,,
,2.50E-05,3699,,,,
10,,3699,,0.600299776,,
,2.50E-05,3709,,,,
10,,3709,,0.780101001,,
,2.50E-05,3719,,,,
10,,3719,,0.913459182,,
,2.50E-05,3729,,,,
10,,3729,,1.308417559,,
,2.50E-05,3739,,,,
10,,3739,,0.848324597,,
,2.50E-05,3749,,,,
10,,3749,,0.691397369,,
,2.50E-05,3759,,,,
10,,3759,,0.698252559,,
,2.50E-05,3769,,,,
10,,3769,,0.672466516,,
,2.50E-05,3779,,,,
10,,3779,,0.862490714,,
,2.50E-05,3789,,,,
10,,3789,,0.683916092,,
,2.50E-05,3799,,,,
10,,3799,,0.889083445,,
,2.50E-05,3809,,,,
10,,3809,,1.084563017,,
,2.50E-05,3819,,,,
10,,3819,,0.668307304,,
,2.50E-05,3829,,,,
10,,3829,,0.625810325,,
,2.50E-05,3839,,,,
10,,3839,,0.795632243,,
,2.50E-05,3849,,,,
10,,3849,,0.759935558,,
,2.50E-05,3859,,,,
10,,3859,,1.216638565,,
,2.50E-05,3869,,,,
10,,3869,,0.586971283,,
,2.50E-05,3879,,,,
10,,3879,,0.677803099,,
,2.50E-05,3889,,,,
10,,3889,,0.740432024,,
,2.50E-05,3899,,,,
10,,3899,,0.681423724,,
